"Account Number","Account Type","Side","Symbol","CUSIP","Currency Code","Security Type","Buy/Sell","Trade Date","Settlement Date","Process Date","Price","Qty","Trade Number","Principal Amount","NET Amount","Commission Amount","Execution Time","Raw Exec. Time","Market Code","Trailer","FeeSEC","FeeMF","Fee1","Fee2","Fee3","FeeStamp","FeeTAF","Fee4","Sequence Number","Side Seq Code","Capacity Code","Office Code","Rep Code","Special Code","Instructions Trade Legend Code","Factor Type2","Trade Interest","Original TradeNumber","Entry Time","Entered By","YieldToMature","YieldToCall","Mutual Fund Sales Charge Rate","Mutual Fund Load Indicator","Transtype"
"TEST1234    ","2","B  ","AZI         ","G06382132   ","USD","equity    ","Long Buy                                          ","06/09/2026","06/10/2026","06/09/2026","8.1949","100","NfGCP","819.4900","820.1400",".3500","07:55     ","06/09/2026 07:55:00","N","71102043",".0000000000",".0000000000",".0000000000",".3000000000",".0000000000",".0000000000",".0000000000",".0000000000","57691676","99","1","LF ","21 ","H "," ","       ",".0000000000","NfGCP","17013167","FIX",".0000000000",".0000000000",".0000000000"," ","Trade"
"TEST1234    ","2","S  ","AZI         ","G06382132   ","USD","equity    ","Long Sell                                         ","06/09/2026","06/10/2026","06/09/2026","8.4503","-100","NfGIF","-845.0300","-844.3400",".3500","07:55     ","06/09/2026 07:55:00","N","71102071",".0200000000",".0000000000",".0000000000",".3000000000",".0000000000",".0000000000",".0200000000",".0000000000","57691728","99","1","LF ","21 ","H "," ","       ",".0000000000","NfGIF","17013172","FIX",".0000000000",".0000000000",".0000000000"," ","Trade"
"TEST1234    ","2","S  ","AZI         ","G06382132   ","USD","equity    ","Long Sell                                         ","06/09/2026","06/10/2026","06/09/2026","8.4300","-100","NfG90","-843.0000","-842.3100",".3500","08:04     ","06/09/2026 08:04:00","N","71102879",".0200000000",".0000000000",".0000000000",".3000000000",".0000000000",".0000000000",".0200000000",".0000000000","57690429","99","1","LF ","21 ","H "," ","       ",".0000000000","NfG90","17013042","FIX",".0000000000",".0000000000",".0000000000"," ","Trade"
"TEST1234    ","2","B  ","AZI         ","G06382132   ","USD","equity    ","Long Buy                                          ","06/09/2026","06/10/2026","06/09/2026","8.2897","100","NfEzA","828.9700","829.6300",".3500","08:04     ","06/09/2026 08:04:00","N","71102869",".0000000000",".0000000000",".0000000000",".3100000000",".0000000000",".0000000000",".0000000000",".0000000000","57691774","99","1","LF ","21 ","H "," ","       ",".0000000000","NfEzA","17013177","FIX",".0000000000",".0000000000",".0000000000"," ","Trade"
"TEST1234    ","2","B  ","AZI         ","G06382132   ","USD","equity    ","Long Buy                                          ","06/09/2026","06/10/2026","06/09/2026","10.2997","100","NfFpU","1029.9700","1030.6300",".3500","08:06     ","06/09/2026 08:06:00","N","71103481",".0000000000",".0000000000",".0000000000",".3100000000",".0000000000",".0000000000",".0000000000",".0000000000","57690461","99","1","LF ","21 ","H "," ","       ",".0000000000","NfFpU","17013046","FIX",".0000000000",".0000000000",".0000000000"," ","Trade"
"TEST1234    ","2","S  ","AZI         ","G06382132   ","USD","equity    ","Long Sell                                         ","06/09/2026","06/10/2026","06/09/2026","9.8703","-100","NfFyh","-987.0300","-986.3200",".3500","08:06     ","06/09/2026 08:06:00","N","71103485",".0300000000",".0000000000",".0000000000",".3100000000",".0000000000",".0000000000",".0200000000",".0000000000","57690520","99","1","LF ","21 ","H "," ","       ",".0000000000","NfFyh","17013052","FIX",".0000000000",".0000000000",".0000000000"," ","Trade"
"TEST1234    ","2","B  ","AZI         ","G06382132   ","USD","equity    ","Long Buy                                          ","06/09/2026","06/10/2026","06/09/2026","11.0500","100","NfG5d","1105.0000","1105.2000",".3500","08:07     ","06/09/2026 08:07:00","N","71103550",".0000000000",".0000000000",".0000000000",".0000000000","-.1500000000",".0000000000",".0000000000",".0000000000","57690500","99","1","LF ","21 ","H "," ","       ",".0000000000","NfG5d","17013050","FIX",".0000000000",".0000000000",".0000000000"," ","Trade"
"TEST1234    ","2","S  ","AZI         ","G06382132   ","USD","equity    ","Long Sell                                         ","06/09/2026","06/10/2026","06/09/2026","11.7803","-100","NfGN2","-1178.0300","-1177.3300",".3500","08:07     ","06/09/2026 08:07:00","N","71103623",".0300000000",".0000000000",".0000000000",".3000000000",".0000000000",".0000000000",".0200000000",".0000000000","57696753","99","1","LF ","21 ","H "," ","       ",".0000000000","NfGN2","17013675","FIX",".0000000000",".0000000000",".0000000000"," ","Trade"
"TEST1234    ","2","B  ","AHMA        ","G0262A103   ","USD","equity    ","Long Buy                                          ","06/09/2026","06/10/2026","06/09/2026","5.3800","100","NfGDg","538.0000","538.2000",".3500","11:52     ","06/09/2026 11:52:00","N","71127447",".0000000000",".0000000000",".0000000000",".0000000000","-.1500000000",".0000000000",".0000000000",".0000000000","57689559","99","1","LF ","21 ","H "," ","       ",".0000000000","NfGDg","17012955","FIX",".0000000000",".0000000000",".0000000000"," ","Trade"
"TEST1234    ","2","S  ","AHMA        ","G0262A103   ","USD","equity    ","Long Sell                                         ","06/09/2026","06/10/2026","06/09/2026","5.3306","-100","NfGC4","-533.0600","-532.3700",".3500","11:52     ","06/09/2026 11:52:00","N","71127459",".0200000000",".0000000000",".0000000000",".3000000000",".0000000000",".0000000000",".0200000000",".0000000000","57689603","99","1","LF ","21 ","H "," ","       ",".0000000000","NfGC4","17012960","FIX",".0000000000",".0000000000",".0000000000"," ","Trade"
